companyID,productType,customerSpend,firmSize,clientBase
84097.0,Federal,2322.0,1.0,
90491.0,Federal,258.0,1.0,
99904.0,"Federal, First State",328.0,1.0,
90064.0,"Federal, First State, Enterprise",866.0,1.0,
1144.0,Federal,258.0,1.0,
85383.0,"Efile, Federal, First State, Enterprise, Pre-paid E-file",1168.0,3.0,28.0
15408.0,"Efile, Federal, First State, Pre-paid E-file",778.0,1.0,
5451.0,"All States, Evaluation, Federal",456.0,1.0,
86330.0,"All States, Efile, Evaluation, Federal, First State, Prior Year, Upgrade, Enterprise, UnlimitedEfile",4801.96,1.0,
9144.0,"Efile, Evaluation, Federal, First State, Pre-paid E-file",628.0,1.0,
4011.0,"Federal, First State, Enterprise",468.0,1.0,3.0
95045.0,Federal,258.0,1.0,
14372.0,"Federal, First State",328.0,1.0,
49940.0,Federal,258.0,1.0,
43104.0,Federal,258.0,1.0,
40421.0,"Federal, First State",328.0,1.0,
61004.0,"All States, Efile, Evaluation, Federal, UnlimitedEfile",3414.0,1.0,
38774.0,"Evaluation, Federal",476.0,1.0,
40061.0,"Federal, First State",328.0,1.0,
41092.0,"All States, Efile, Federal, UnlimitedEfile",1178.0,1.0,
28339.0,"All States, Efile, Evaluation, Federal, Enterprise, Pre-paid E-file",1188.0,6.0,70.0
14450.0,Federal,258.0,1.0,
78032.0,"Efile, Federal, First State, Pre-paid E-file",988.0,1.0,
33308.0,"All States, Efile, Evaluation, Federal, First State, Enterprise, Pre-paid E-file",1418.0,6.0,43.0
48838.0,"All States, Efile, Evaluation, Federal, First State, UnlimitedEfile",4720.0,1.0,
43477.0,"All States, Efile, Federal, Upgrade, Enterprise, UnlimitedEfile",5386.0,1.0,
45336.0,"Efile, Evaluation, Federal, First State, Pre-paid E-file",558.0,1.0,
71433.0,"All States, Efile, Evaluation, Federal, Enterprise, UnlimitedEfile",11862.0,1.0,
32573.0,"Efile, Federal, First State, Upgrade, Enterprise, Pre-paid E-file",768.0,1.0,26.0
31333.0,"Efile, Federal, First State, Pre-paid E-file",998.0,1.0,
30337.0,"All States, Efile, Federal, Enterprise, UnlimitedEfile",4894.0,1.0,
33613.0,"All States, Efile, Federal, Enterprise, UnlimitedEfile",2476.0,1.0,
3689.0,"All States, Efile, Federal, First State, Enterprise, UnlimitedEfile",1706.0,1.0,
53816.0,"Evaluation, Federal, Prior Year, Enterprise",656.0,1.0,
68836.0,"All States, Efile, Evaluation, Federal, UnlimitedEfile",3996.0,1.0,
31765.0,"Efile, Evaluation, Federal, First State, Pre-paid E-file",778.0,1.0,
36539.0,"All States, Efile, Federal, Upgrade, Enterprise, UnlimitedEfile",13982.84,1.0,5.0
23473.0,"All States, Efile, Federal, Enterprise, UnlimitedEfile",10544.0,1.0,
71310.0,"All States, Efile, Federal, Enterprise, UnlimitedEfile",2476.0,1.0,21.0
34772.0,"Efile, Federal, First State, Pre-paid E-file",2232.0,1.0,
38157.0,"All States, Efile, Federal, Enterprise, UnlimitedEfile",1318.0,1.0,
97734.0,"Federal, First State",656.0,1.0,
24738.0,"All States, Efile, Federal, Enterprise, UnlimitedEfile",2698.0,1.0,
96636.0,"Efile, Evaluation, Federal, First State, Pre-paid E-file",558.0,1.0,
73932.0,"Evaluation, Federal, First State, Prior Year",836.0,1.0,
3739.0,Federal,258.0,1.0,
97306.0,"Federal, First State",378.0,1.0,
32979.0,"All States, Efile, Federal, Enterprise, UnlimitedEfile",1278.0,4.0,
76133.0,"All States, Efile, Evaluation, Federal, Upgrade, Enterprise, UnlimitedEfile",2138.0,3.0,7.0
67843.0,"All States, Efile, Federal, Enterprise, UnlimitedEfile",4794.0,1.0,
74398.0,Federal,1032.0,1.0,
75834.0,"All States, Efile, Federal, Prior Year, Enterprise, UnlimitedEfile",4984.0,1.0,
39438.0,"All States, Efile, Federal, UnlimitedEfile",1098.0,1.0,
31380.0,"All States, Efile, Evaluation, Federal, First State, Enterprise, UnlimitedEfile, Pre-paid E-file",1556.0,1.0,
53645.0,"Federal, First State",844.0,1.0,
31745.0,"Federal, Prior Year, Enterprise",2829.94,1.0,
84379.0,"All States, Efile, Evaluation, Federal, UnlimitedEfile",6710.0,1.0,
23758.0,"Federal, Enterprise",3044.0,1.0,19.0
43873.0,Federal,774.0,1.0,
79371.0,"All States, Efile, Federal, Enterprise, UnlimitedEfile",3954.0,1.0,
50386.0,"All States, Efile, Evaluation, Federal, Enterprise, UnlimitedEfile",2476.0,4.0,1698.0
43471.0,"All States, Efile, Evaluation, Federal, UnlimitedEfile",1178.0,1.0,
